job_id,job_title,company,location,skills,experience,education,job_description,salary
JOB1021,Data Scientist,Atlassian,"Australia, AS","Statistics, Power BI, Data Analysis, Tableau, Matplotlib, Reporting, Pandas, SQL",2-3 years,Bachelor's in Computer Science,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Statistics and Power BI. Ideal for candidates aiming to work with modern engineering standards.","$75,000 - $105,000 / yr"
JOB1022,Data Analyst,Canva,"Australia, AS","Reporting, SQL, Tableau, Matplotlib, Data Analysis, Power BI, Pandas, Python, Statistics, Excel",0-1 years (Fresher),Bachelor's in Information Technology,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Reporting and SQL. Ideal for candidates aiming to work with modern engineering standards.","$55,000 - $80,000 / yr"
JOB1023,Machine Learning Engineer,Telstra,"Australia, AS","Excel, Pandas, Data Analysis, SQL, Power BI, Matplotlib, Statistics, Python, Reporting, Tableau",Fresher / Entry Level,Bachelor's in Information Technology,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Excel and Pandas. Ideal for candidates aiming to work with modern engineering standards.","$85,000 - $125,000 / yr"
JOB1024,AI Engineer,Commonwealth Bank,"Australia, AS","Tableau, Pandas, Power BI, Reporting, Excel, Python, Data Analysis",0-1 years (Fresher),Bachelor's in Business Analytics,"Transform raw data into meaningful business intelligence dashboards, perform exploratory data analysis, and support decision-making processes. Seeking candidate skilled in Tableau and Pandas. Ideal for candidates aiming to work with modern engineering standards.","$90,000 - $135,000 / yr"
JOB1025,Python Developer,ANZ,"Australia, AS","Git, TensorFlow, SQL, Machine Learning, Docker, MLOps, PyTorch, Python, Deep Learning, Scikit-Learn",2-3 years,Bachelor's in Computer Science,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in Git and TensorFlow. Ideal for candidates aiming to work with modern engineering standards.","$65,000 - $95,000 / yr"
JOB1026,Software Developer,Westpac,"Australia, AS","SQL, Machine Learning, Python, Deep Learning, Git, PyTorch, Docker, Scikit-Learn, TensorFlow",0-1 years (Fresher),Bachelor's in Computer Science,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in SQL and Machine Learning. Ideal for candidates aiming to work with modern engineering standards.","$70,000 - $100,000 / yr"
JOB1027,Backend Developer,NAB,"Australia, AS","Git, Scikit-Learn, Deep Learning, TensorFlow, Docker, PyTorch, SQL, MLOps",0-1 years (Fresher),Bachelor's in Computer Science,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in Git and Scikit-Learn. Ideal for candidates aiming to work with modern engineering standards.","$75,000 - $105,000 / yr"
JOB1028,Frontend Developer,WiseTech Global,"Australia, AS","Python, Deep Learning, PyTorch, SQL, Docker, TensorFlow",3-5 years,Bachelor's in Artificial Intelligence,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in Python and Deep Learning. Ideal for candidates aiming to work with modern engineering standards.","$60,000 - $90,000 / yr"
JOB1029,Full Stack Developer,Macquarie Group,"Australia, AS","TensorFlow, Git, PyTorch, Machine Learning, Python, Docker",Fresher / Entry Level,Bachelor's in Artificial Intelligence,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in TensorFlow and Git. Ideal for candidates aiming to work with modern engineering standards.","$75,000 - $110,000 / yr"
JOB1030,Business Analyst,REA Group,"Australia, AS","Python, Machine Learning, Deep Learning, MLOps, Git, PyTorch, TensorFlow",1-2 years,Bachelor's in Artificial Intelligence,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in Python and Machine Learning. Ideal for candidates aiming to work with modern engineering standards.","$60,000 - $85,000 / yr"
JOB1031,Data Scientist,eInfochips,"Ahemdabad, IN","MLOps, PyTorch, Scikit-Learn, Git, TensorFlow, Deep Learning, Docker, Python, SQL, Machine Learning",1-2 years,Master's in Machine Learning,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in MLOps and PyTorch. Ideal for candidates aiming to work with modern engineering standards.","₹6,00,000 - ₹14,00,000 / yr"
JOB1032,Data Analyst,TatvaSoft,"Ahemdabad, IN","MLOps, Python, Docker, TensorFlow, Git, Scikit-Learn",2-3 years,Master's in Machine Learning,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in MLOps and Python. Ideal for candidates aiming to work with modern engineering standards.","₹4,00,000 - ₹9,00,000 / yr"
JOB1033,Machine Learning Engineer,Radixweb,"Ahemdabad, IN","Scikit-Learn, MLOps, Deep Learning, PyTorch, Python, SQL",Fresher / Entry Level,Master's in Machine Learning,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in Scikit-Learn and MLOps. Ideal for candidates aiming to work with modern engineering standards.","₹8,00,000 - ₹18,00,000 / yr"
JOB1034,AI Engineer,Gateway Group,"Ahemdabad, IN","Python, TensorFlow, Machine Learning, SQL, Docker, PyTorch, Git, Scikit-Learn",3-5 years,Bachelor's in Artificial Intelligence,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in Python and TensorFlow. Ideal for candidates aiming to work with modern engineering standards.","₹8,00,000 - ₹20,00,000 / yr"
JOB1035,Python Developer,Simform,"Ahemdabad, IN","Git, SQL, TensorFlow, Scikit-Learn, Machine Learning, Docker, PyTorch, Python, Deep Learning",Fresher / Entry Level,Bachelor's in Computer Science,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in Git and SQL. Ideal for candidates aiming to work with modern engineering standards.","₹5,00,000 - ₹12,00,000 / yr"
JOB1036,Software Developer,Zealous System,"Ahemdabad, IN","TensorFlow, Deep Learning, SQL, Docker, Python, PyTorch, Machine Learning, Scikit-Learn, Git",3-5 years,Master's in Machine Learning,"Design, deploy, and maintain scalable machine learning pipelines and production AI models integrated with enterprise software. Seeking candidate skilled in TensorFlow and Deep Learning. Ideal for candidates aiming to work with modern engineering standards.","₹5,00,000 - ₹12,00,000 / yr"
JOB1037,Backend Developer,Hidden Brains,"Ahemdabad, IN","Generative AI, TensorFlow, API Development, Deep Learning, Transformers, PyTorch, NLP",Fresher / Entry Level,Master's in AI,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in Generative AI and TensorFlow. Ideal for candidates aiming to work with modern engineering standards.","₹6,00,000 - ₹14,00,000 / yr"
JOB1038,Frontend Developer,Cygnet Infotech,"Ahemdabad, IN","Generative AI, TensorFlow, Deep Learning, Git, API Development, Transformers, PyTorch, NLP",1-2 years,Master's in AI,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in Generative AI and TensorFlow. Ideal for candidates aiming to work with modern engineering standards.","₹4,00,000 - ₹10,00,000 / yr"
JOB1039,Full Stack Developer,OpenXcell,"Ahemdabad, IN","Git, Deep Learning, PyTorch, TensorFlow, Transformers, NLP, API Development, Python, LangChain, Generative AI",1-2 years,Bachelor's in Computer Science,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in Git and Deep Learning. Ideal for candidates aiming to work with modern engineering standards.","₹6,00,000 - ₹15,00,000 / yr"
JOB1040,Business Analyst,Silver Touch Technologies,"Ahemdabad, IN","Transformers, TensorFlow, Generative AI, Deep Learning, API Development, Git",3-5 years,Master's in AI,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in Transformers and TensorFlow. Ideal for candidates aiming to work with modern engineering standards.","₹4,00,000 - ₹9,00,000 / yr"
JOB1041,Data Scientist,Emirates,"Dubai, DU","PyTorch, TensorFlow, Generative AI, Git, Deep Learning, LangChain",0-1 years (Fresher),Master's in AI,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in PyTorch and TensorFlow. Ideal for candidates aiming to work with modern engineering standards.","AED 180,000 - AED 300,000 / yr"
JOB1042,Data Analyst,Emirates NBD,"Dubai, DU","NLP, Transformers, Deep Learning, TensorFlow, Generative AI, LangChain, API Development, Git, PyTorch",3-5 years,Bachelor's in Computer Science,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in NLP and Transformers. Ideal for candidates aiming to work with modern engineering standards.","AED 120,000 - AED 210,000 / yr"
JOB1043,Machine Learning Engineer,Careem,"Dubai, DU","LangChain, API Development, Transformers, Deep Learning, PyTorch, NLP, Generative AI",2-3 years,Bachelor's in Computer Science,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in LangChain and API Development. Ideal for candidates aiming to work with modern engineering standards.","AED 200,000 - AED 350,000 / yr"
JOB1044,AI Engineer,Noon,"Dubai, DU","Deep Learning, API Development, PyTorch, Transformers, TensorFlow, Git, Generative AI, NLP",1-2 years,Bachelor's in Computer Science,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in Deep Learning and API Development. Ideal for candidates aiming to work with modern engineering standards.","AED 220,000 - AED 380,000 / yr"
JOB1045,Python Developer,du,"Dubai, DU","Deep Learning, API Development, Transformers, Generative AI, Python, PyTorch, TensorFlow, LangChain, Git",3-5 years,Bachelor's in Software Engineering,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in Deep Learning and API Development. Ideal for candidates aiming to work with modern engineering standards.","AED 140,000 - AED 240,000 / yr"
JOB1046,Software Developer,Etisalat,"Dubai, DU","LangChain, TensorFlow, API Development, Git, Deep Learning, Transformers, PyTorch, Generative AI",2-3 years,Bachelor's in Computer Science,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in LangChain and TensorFlow. Ideal for candidates aiming to work with modern engineering standards.","AED 150,000 - AED 260,000 / yr"
JOB1047,Backend Developer,Mashreq,"Dubai, DU","TensorFlow, Deep Learning, Git, API Development, PyTorch, Generative AI",Fresher / Entry Level,Bachelor's in Computer Science,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in TensorFlow and Deep Learning. Ideal for candidates aiming to work with modern engineering standards.","AED 160,000 - AED 280,000 / yr"
JOB1048,Frontend Developer,Dubai Holding,"Dubai, DU","Git, Python, PyTorch, Deep Learning, Generative AI, Transformers, TensorFlow, API Development, NLP, LangChain",2-3 years,Master's in AI,"Develop state-of-the-art AI applications, integrate large language models (LLMs) and natural language processing solutions into cloud applications. Seeking candidate skilled in Git and Python. Ideal for candidates aiming to work with modern engineering standards.","AED 130,000 - AED 230,000 / yr"
JOB1049,Full Stack Developer,Property Finder,"Dubai, DU","PostgreSQL, REST APIs, SQL, Docker, FastAPI, Flask, Python, Django",Fresher / Entry Level,Bachelor's in Computer Science,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in PostgreSQL and REST APIs. Ideal for candidates aiming to work with modern engineering standards.","AED 170,000 - AED 300,000 / yr"
JOB1050,Business Analyst,Talabat,"Dubai, DU","Django, Python, Docker, Object Oriented Programming, REST APIs, Git, PostgreSQL",1-2 years,Bachelor's in Computer Science,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in Django and Python. Ideal for candidates aiming to work with modern engineering standards.","AED 130,000 - AED 220,000 / yr"
JOB1051,Data Scientist,Tata Consultancy Services,"Mumbai, IN","FastAPI, Git, SQL, REST APIs, Flask, Django, Python, Object Oriented Programming, Docker, PostgreSQL",0-1 years (Fresher),Bachelor's in Software Engineering,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in FastAPI and Git. Ideal for candidates aiming to work with modern engineering standards.","₹8,00,000 - ₹18,00,000 / yr"
JOB1052,Data Analyst,Reliance Industries,"Mumbai, IN","REST APIs, FastAPI, Django, SQL, PostgreSQL, Git, Python, Flask, Object Oriented Programming",Fresher / Entry Level,Bachelor's in Software Engineering,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in REST APIs and FastAPI. Ideal for candidates aiming to work with modern engineering standards.","₹5,00,000 - ₹11,00,000 / yr"
JOB1053,Machine Learning Engineer,Infosys,"Mumbai, IN","PostgreSQL, Docker, REST APIs, Object Oriented Programming, Flask, Python",2-3 years,Bachelor's in Software Engineering,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in PostgreSQL and Docker. Ideal for candidates aiming to work with modern engineering standards.","₹10,00,000 - ₹22,00,000 / yr"
JOB1054,AI Engineer,Wipro,"Mumbai, IN","Django, REST APIs, PostgreSQL, Git, FastAPI, Object Oriented Programming, Docker, Python, SQL",Fresher / Entry Level,Bachelor's in Software Engineering,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in Django and REST APIs. Ideal for candidates aiming to work with modern engineering standards.","₹12,00,000 - ₹25,00,000 / yr"
JOB1055,Python Developer,HDFC Bank,"Mumbai, IN","Object Oriented Programming, SQL, PostgreSQL, REST APIs, Django, Python, Flask, Git, Docker",Fresher / Entry Level,Bachelor's in Information Technology,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in Object Oriented Programming and SQL. Ideal for candidates aiming to work with modern engineering standards.","₹6,00,000 - ₹15,00,000 / yr"
JOB1056,Software Developer,ICICI Bank,"Mumbai, IN","Git, PostgreSQL, Flask, FastAPI, Django, Object Oriented Programming",2-3 years,Bachelor's in Information Technology,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in Git and PostgreSQL. Ideal for candidates aiming to work with modern engineering standards.","₹6,00,000 - ₹15,00,000 / yr"
JOB1057,Backend Developer,Accenture,"Mumbai, IN","Docker, Python, FastAPI, Object Oriented Programming, Django, Git, SQL, Flask",3-5 years,Bachelor's in Computer Science,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in Docker and Python. Ideal for candidates aiming to work with modern engineering standards.","₹7,00,000 - ₹17,00,000 / yr"
JOB1058,Frontend Developer,Capgemini,"Mumbai, IN","Django, SQL, FastAPI, Git, PostgreSQL, Object Oriented Programming",Fresher / Entry Level,Bachelor's in Information Technology,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in Django and SQL. Ideal for candidates aiming to work with modern engineering standards.","₹5,00,000 - ₹13,00,000 / yr"
JOB1059,Full Stack Developer,LTIMindtree,"Mumbai, IN","Docker, PostgreSQL, REST APIs, Object Oriented Programming, SQL, Flask, Git, FastAPI, Django, Python",2-3 years,Bachelor's in Information Technology,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in Docker and PostgreSQL. Ideal for candidates aiming to work with modern engineering standards.","₹8,00,000 - ₹19,00,000 / yr"
JOB1060,Business Analyst,Tech Mahindra,"Mumbai, IN","PostgreSQL, Django, Flask, Docker, REST APIs, FastAPI, Git",Fresher / Entry Level,Bachelor's in Software Engineering,"Build scalable backend applications, construct clean RESTful APIs, write robust unit tests, and optimize database query performance. Seeking candidate skilled in PostgreSQL and Django. Ideal for candidates aiming to work with modern engineering standards.","₹5,00,000 - ₹12,00,000 / yr"
JOB1061,Data Scientist,Google,"London, UK","Algorithms, Data Structures, Git, Java, C++, Python, SQL",0-1 years (Fresher),Bachelor's in Software Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in Algorithms and Data Structures. Ideal for candidates aiming to work with modern engineering standards.","£60,000 - £90,000 / yr"
JOB1062,Data Analyst,Microsoft,"London, UK","C++, Object Oriented Programming, Java, SQL, Python, Algorithms, Unit Testing, Problem Solving",3-5 years,Bachelor's in Software Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in C++ and Object Oriented Programming. Ideal for candidates aiming to work with modern engineering standards.","£40,000 - £65,000 / yr"
JOB1063,Machine Learning Engineer,Amazon,"London, UK","Algorithms, Object Oriented Programming, Java, SQL, Python, Data Structures",0-1 years (Fresher),Bachelor's in Software Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in Algorithms and Object Oriented Programming. Ideal for candidates aiming to work with modern engineering standards.","£65,000 - £100,000 / yr"
JOB1064,AI Engineer,Meta,"London, UK","Unit Testing, Algorithms, Java, Object Oriented Programming, Python, Problem Solving, Data Structures",Fresher / Entry Level,Bachelor's in Computer Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in Unit Testing and Algorithms. Ideal for candidates aiming to work with modern engineering standards.","£70,000 - £110,000 / yr"
JOB1065,Python Developer,Barclays,"London, UK","Object Oriented Programming, Unit Testing, Algorithms, SQL, Problem Solving, Data Structures, C++, Git, Python",0-1 years (Fresher),Bachelor's in Computer Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in Object Oriented Programming and Unit Testing. Ideal for candidates aiming to work with modern engineering standards.","£45,000 - £75,000 / yr"
JOB1066,Software Developer,HSBC,"London, UK","Java, C++, Data Structures, Unit Testing, Algorithms, Python, SQL, Git",3-5 years,Bachelor's in Software Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in Java and C++. Ideal for candidates aiming to work with modern engineering standards.","£50,000 - £80,000 / yr"
JOB1067,Backend Developer,Lloyds Banking Group,"London, UK","Data Structures, Algorithms, Problem Solving, Git, Unit Testing, Python",1-2 years,Bachelor's in Computer Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in Data Structures and Algorithms. Ideal for candidates aiming to work with modern engineering standards.","£50,000 - £85,000 / yr"
JOB1068,Frontend Developer,BT Group,"London, UK","SQL, Java, Data Structures, Git, Problem Solving, C++, Unit Testing",0-1 years (Fresher),Bachelor's in Computer Science,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in SQL and Java. Ideal for candidates aiming to work with modern engineering standards.","£40,000 - £70,000 / yr"
JOB1069,Full Stack Developer,Revolut,"London, UK","Unit Testing, Algorithms, Object Oriented Programming, Python, Data Structures, C++, Git, Java, Problem Solving, SQL",Fresher / Entry Level,Bachelor's in Computer Science,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in Unit Testing and Algorithms. Ideal for candidates aiming to work with modern engineering standards.","£55,000 - £90,000 / yr"
JOB1070,Business Analyst,Monzo,"London, UK","Unit Testing, Algorithms, Python, Object Oriented Programming, Java, Problem Solving, SQL, C++",Fresher / Entry Level,Bachelor's in Software Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in Unit Testing and Algorithms. Ideal for candidates aiming to work with modern engineering standards.","£42,000 - £68,000 / yr"
JOB1071,Data Scientist,Infosys,"Bangalore, IN","Problem Solving, Object Oriented Programming, Algorithms, Java, Unit Testing, Data Structures, Git, Python, SQL",3-5 years,Bachelor's in Software Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in Problem Solving and Object Oriented Programming. Ideal for candidates aiming to work with modern engineering standards.","₹8,00,000 - ₹20,00,000 / yr"
JOB1072,Data Analyst,Wipro,"Bangalore, IN","C++, Git, SQL, Problem Solving, Data Structures, Unit Testing",3-5 years,Bachelor's in Computer Engineering,"Develop high quality software applications, write clean algorithmically optimized code, debug enterprise systems, and collaborate in agile teams. Seeking candidate skilled in C++ and Git. Ideal for candidates aiming to work with modern engineering standards.","₹5,00,000 - ₹12,00,000 / yr"
JOB1073,Machine Learning Engineer,Tata Consultancy Services,"Bangalore, IN","REST APIs, MongoDB, Redis, Python, PostgreSQL, Git",Fresher / Entry Level,Bachelor's in Computer Science,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in REST APIs and MongoDB. Ideal for candidates aiming to work with modern engineering standards.","₹10,00,000 - ₹25,00,000 / yr"
JOB1074,AI Engineer,Accenture,"Bangalore, IN","PostgreSQL, Git, REST APIs, MongoDB, Redis, Docker",1-2 years,Bachelor's in Computer Science,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in PostgreSQL and Git. Ideal for candidates aiming to work with modern engineering standards.","₹12,00,000 - ₹28,00,000 / yr"
JOB1075,Python Developer,Amazon,"Bangalore, IN","MongoDB, Docker, Git, Python, Microservices, Redis, Node.js",1-2 years,Bachelor's in IT,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in MongoDB and Docker. Ideal for candidates aiming to work with modern engineering standards.","₹7,00,000 - ₹16,00,000 / yr"
JOB1076,Software Developer,Microsoft,"Bangalore, IN","Git, Microservices, Node.js, Docker, Python, PostgreSQL",1-2 years,Bachelor's in Computer Science,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in Git and Microservices. Ideal for candidates aiming to work with modern engineering standards.","₹7,00,000 - ₹18,00,000 / yr"
JOB1077,Backend Developer,Google,"Bangalore, IN","MongoDB, Microservices, Docker, PostgreSQL, Node.js, Git, REST APIs, Redis, Python, Express",2-3 years,Bachelor's in Computer Science,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in MongoDB and Microservices. Ideal for candidates aiming to work with modern engineering standards.","₹8,00,000 - ₹20,00,000 / yr"
JOB1078,Frontend Developer,Flipkart,"Bangalore, IN","MongoDB, Python, Redis, REST APIs, Express, Docker, PostgreSQL, Git, Node.js, Microservices",2-3 years,Bachelor's in Software Engineering,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in MongoDB and Python. Ideal for candidates aiming to work with modern engineering standards.","₹6,00,000 - ₹15,00,000 / yr"
JOB1079,Full Stack Developer,Swiggy,"Bangalore, IN","PostgreSQL, Redis, Microservices, Node.js, Git, Python, Express, REST APIs",3-5 years,Bachelor's in Software Engineering,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in PostgreSQL and Redis. Ideal for candidates aiming to work with modern engineering standards.","₹8,00,000 - ₹22,00,000 / yr"
JOB1080,Business Analyst,Razorpay,"Bangalore, IN","Python, Express, REST APIs, Microservices, Redis, PostgreSQL, Docker, Git, Node.js",1-2 years,Bachelor's in Computer Science,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in Python and Express. Ideal for candidates aiming to work with modern engineering standards.","₹6,00,000 - ₹14,00,000 / yr"
JOB1081,Data Scientist,Microsoft,"Hyderabad, IN","Docker, MongoDB, REST APIs, Git, Redis, PostgreSQL",0-1 years (Fresher),Bachelor's in IT,"Architect efficient server-side logic, design relational and NoSQL databases, implement authentication protocols, and build microservice APIs. Seeking candidate skilled in Docker and MongoDB. Ideal for candidates aiming to work with modern engineering standards.","₹7,00,000 - ₹17,00,000 / yr"
